Id,Name
0051k000004mUL6AAM,Automated Process
0051k000004amt2AAA,Chris Contractor
0051k000004amt7AAA,Alice Analyst
0051k000004mUL5AAM,Integration User
0051k000004mUL7AAM,Service Agent
0051k000004mULGAA2,Security User
0051k000004am2tAAA,David Larrimore
0051k000004mUL9AAM,John Smith
0051k000004mULBAA2,Jon Amos
0051k000004amRhAAI,Platform Integration User
0051k000004mULCAA2,Chatter Expert
00G1k000003i1XnEAI,
00G1k000003i1XmEAI,
00G1k000003i23lEAA,eWRTS File Processing Queue
00G1k000003i23mEAA,eWRTS Iron Mountain Contractor Queue
00G1k000003i23nEAA,eWRTS Lees Summit Contractor Queue
00G1k000003i23oEAA,eWRTS Lenexa Contractor Queue
00G1k000003i23pEAA,eWRTS NRC Contractor Queue
00G1k000003i23qEAA,eWRTS NRC Triage Queue
00G1k000003i23rEAA,eWRTS North KC Contractor Queue
00G1k000003pG6fEAE,
